month_bin,mean_composite_z,mean_abs_corr,mean_volatility_60,n,episode,episode_short,start,end
23,0.39832028238358114,0.5045306054884537,1.9091914915694062,25,Great Depression,1929-1933,1929-08-01,1933-03-01
24,0.37276662693060064,0.5246049915484753,1.7737803972681752,26,Great Depression,1929-1933,1929-08-01,1933-03-01
25,0.37910256362263944,0.5029037911676792,1.3657742514556135,24,Great Depression,1929-1933,1929-08-01,1933-03-01
26,0.41730514783328054,0.5507775902454076,2.0725272979295855,24,Great Depression,1929-1933,1929-08-01,1933-03-01
27,0.6501075463589016,0.6042246823415907,2.8213290025338513,25,Great Depression,1929-1933,1929-08-01,1933-03-01
28,0.6750613990057103,0.5941351850128966,2.8051574956688516,25,Great Depression,1929-1933,1929-08-01,1933-03-01
29,0.6649257771419542,0.5265043214023909,2.3247690355157395,22,Great Depression,1929-1933,1929-08-01,1933-03-01
30,0.5318221268953641,0.5128578214541419,2.384958618918647,25,Great Depression,1929-1933,1929-08-01,1933-03-01
31,0.5952468049152706,0.5146471982065397,2.307503485560413,25,Great Depression,1929-1933,1929-08-01,1933-03-01
32,0.5966841016822417,0.48125002675127854,1.939996574906535,25,Great Depression,1929-1933,1929-08-01,1933-03-01
33,0.5001203308185225,0.4391426786639597,1.8257170764748805,25,Great Depression,1929-1933,1929-08-01,1933-03-01
34,0.31667392594475513,0.42610943577541854,1.9963362377097882,25,Great Depression,1929-1933,1929-08-01,1933-03-01
35,0.4754050208435514,0.45159913128935525,2.354836721645279,24,Great Depression,1929-1933,1929-08-01,1933-03-01
36,0.4507165749024995,0.43887009039303265,2.5145992887963278,25,Great Depression,1929-1933,1929-08-01,1933-03-01
37,0.2724674929440429,0.41851956234137044,2.5132228140425306,25,Great Depression,1929-1933,1929-08-01,1933-03-01
38,0.2444114927953489,0.5004886797504576,3.114225126536902,25,Great Depression,1929-1933,1929-08-01,1933-03-01
39,0.5110190535637116,0.5825040954375683,3.3232044925648254,25,Great Depression,1929-1933,1929-08-01,1933-03-01
40,0.5869032047440464,0.6122165647168968,3.064050129966144,24,Great Depression,1929-1933,1929-08-01,1933-03-01
41,0.6532569042983157,0.5161606096729333,2.2871903634264013,23,Great Depression,1929-1933,1929-08-01,1933-03-01
42,0.5362903298003772,0.41682894879729115,1.7435947868617834,26,Great Depression,1929-1933,1929-08-01,1933-03-01
43,0.3595544761690224,0.399243465963811,1.637279658295112,16,Great Depression,1929-1933,1929-08-01,1933-03-01
44,0.4803833331947842,0.6089558085189831,2.863402202238051,24,Great Depression,1929-1933,1929-08-01,1933-03-01
45,0.606561825106778,0.6109761763488178,3.2520375989205577,25,Great Depression,1929-1933,1929-08-01,1933-03-01
46,0.5202252664515947,0.5318083918827385,2.8752712586397853,25,Great Depression,1929-1933,1929-08-01,1933-03-01
47,0.4668287796461754,0.5165856194328913,2.6631678899311617,24,Great Depression,1929-1933,1929-08-01,1933-03-01
48,0.49019906745171027,0.6108221926017913,3.0340425221440035,24,Great Depression,1929-1933,1929-08-01,1933-03-01
49,0.6158390455006123,0.7029420414987401,3.444411086589843,13,Great Depression,1929-1933,1929-08-01,1933-03-01
-6,0.16207359613033986,0.5718631156115285,0.7722462978430379,22,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
-5,0.34806368906334934,0.5754392029441062,0.7564650299006677,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
-4,0.4447669677836655,0.5835084098383196,0.7763433159785198,20,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
-3,0.45914626280043674,0.5227457390995188,0.6560183982946418,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
-2,0.3378589795477764,0.48276688139764495,0.5776474368603859,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
-1,0.21781852563786122,0.4979087117118622,0.593838917888864,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
0,-0.016154274845331336,0.4970913970383656,0.6245363222726608,20,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
1,-0.20844218216350435,0.581951899170075,0.905972291134593,22,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
2,-0.03525788996587507,0.6695121537974568,1.185142980470012,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
3,0.11274967323333503,0.6802017842012609,1.344574862973379,20,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
4,0.036016840832026796,0.6413500779129772,1.265329226730747,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
5,-0.22909761719692792,0.5830033274990226,1.1029594378794634,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
6,-0.0065966744794498725,0.53817878917077,0.9027868185658348,20,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
7,0.1070343229366075,0.5478768183734013,0.8976057964640594,20,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
8,-0.15000779579495865,0.5472776484454976,0.9400296672836916,22,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
9,-0.08461294616010918,0.5139390027739844,0.8889457384573104,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
10,-0.361588872429023,0.48604976493791446,0.7911698785860228,20,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
11,-0.5054596697857041,0.48620462620321175,0.7409406308761946,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
12,0.03910548062776917,0.4923227440393283,0.7107345717473323,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
13,-0.04592523893033237,0.4758926233509452,0.662058763067327,21,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
14,0.29345978520759725,0.556192836532253,0.7478032128101931,3,1990-1991 recession,1990-1991,1990-07-01,1991-03-01
-6,-0.04484311332589461,0.559218752035463,0.6655634559725612,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
-5,-0.0862114402665073,0.6132402730542459,0.7696615726826161,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
-4,0.34215078086600254,0.6796624311728048,1.0573384063934206,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
-3,0.20762455538210056,0.7074717616873194,1.2073825971066268,20,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
-2,0.07066132592340317,0.6897245389010926,1.2013293066295596,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
-1,0.18422381802856158,0.6811225026124553,1.1779302269375425,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
0,0.3203077297266603,0.6780730141270952,1.2510621792071943,19,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
1,0.029218705304085733,0.6708122360488575,1.3730275226543012,20,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
2,0.025609973607685826,0.61582121471736,1.4112668783928075,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
3,0.015018631501162602,0.6085315159933324,1.4528072802893301,20,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
4,0.1314664918624554,0.6347571186557258,1.5313334198389397,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
5,0.2751817875019282,0.6260025525328442,1.3936809684270475,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
6,0.21273851129406174,0.564991728332,1.1765474335793789,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
7,0.2340466757431137,0.5146035561607042,1.1065091478003477,19,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
8,0.2644665525536374,0.5311562857928318,1.2851686510495641,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
9,0.2928223358665442,0.5634534857901352,1.5145495723840583,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
10,0.32339011979184534,0.725224464573246,2.6486461835441992,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
11,0.1249215039340448,0.8072742114344887,3.798197455213377,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
12,0.3542076618952892,0.831188330093482,4.559321761488049,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
13,0.20984584382817792,0.8197031273484199,4.127381315610063,19,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
14,0.12982843107524458,0.7848354255239454,3.420318128362943,19,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
15,0.2976683224546352,0.7059287087266711,2.656841620544406,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
16,0.37857120012103107,0.7138250910464476,2.820762337133321,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
17,0.37178666414207406,0.690052165993242,2.725494628010204,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
18,0.35201852503317255,0.647270004292092,2.3174653464774932,20,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
19,0.25091150467338774,0.6212298804388589,1.8747102268124942,21,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
20,0.25947705824874423,0.6477075696668503,1.5928299013208294,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
21,-0.11350882972148336,0.6316673784189616,1.3733357066828191,19,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
22,0.1788073424801892,0.5972458265468338,1.2115192419337388,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
23,0.31942056833254,0.653494595240473,1.2716455433752647,22,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
24,0.4991624073454569,0.680797051040865,1.3016638991185698,5,Global Financial Crisis,2007-2009,2007-12-01,2009-06-01
-6,0.05768340462659959,0.5389334447603618,0.9352195959287638,21,COVID recession,2020,2020-02-01,2020-04-01
-5,0.12465809649545977,0.564936325690248,0.9913603884570779,22,COVID recession,2020,2020-02-01,2020-04-01
-4,-0.26706502198981813,0.6061396820058605,1.0374661598145447,21,COVID recession,2020,2020-02-01,2020-04-01
-3,-0.8432033831415957,0.4532849304169126,0.7490829372433583,20,COVID recession,2020,2020-02-01,2020-04-01
-2,-0.7624155742275125,0.40272040272579107,0.6174526954485902,20,COVID recession,2020,2020-02-01,2020-04-01
-1,-1.005476292171954,0.3098418559937801,0.4662101316060903,21,COVID recession,2020,2020-02-01,2020-04-01
0,-0.022886916558211057,0.4628694772838415,0.6999082330382731,19,COVID recession,2020,2020-02-01,2020-04-01
1,0.1752440814895682,0.7817253330771776,2.5846999574159213,22,COVID recession,2020,2020-02-01,2020-04-01
2,0.07941639505620958,0.809641477517575,3.958165740226549,21,COVID recession,2020,2020-02-01,2020-04-01
3,-0.04178726344366023,0.8014233628772427,4.130742943371069,20,COVID recession,2020,2020-02-01,2020-04-01
4,0.2638430507922411,0.7409631876588596,3.0787974965214358,21,COVID recession,2020,2020-02-01,2020-04-01
5,0.0494504036482079,0.6774562737672996,2.0249864240552053,21,COVID recession,2020,2020-02-01,2020-04-01
6,-0.12518675907926655,0.6254914782268162,1.6326536500348923,22,COVID recession,2020,2020-02-01,2020-04-01
7,-0.6934948872644547,0.511211843015052,1.1808000991913832,19,COVID recession,2020,2020-02-01,2020-04-01
8,-0.748209530318022,0.4830032473507094,1.1090941708993471,1,COVID recession,2020,2020-02-01,2020-04-01
