date,window,assets_used,mean_abs_corr,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1966-11-30,60,49,0.5257124816491744,False,-0.29282494957123245,-0.15309769535731316,-0.7248958999057601,0.15427510225763907,-0.320287305648588,-0.2673661496450509
1966-12-01,60,49,0.5256793830603158,False,-0.2965111896655489,0.3436921389616313,-0.6702782450812885,0.15748329877495665,0.24791107214155436,-0.04354058497373896
1966-12-02,60,49,0.5178052803823733,False,-0.24112274376200057,-0.23713876445295567,-1.2679740959572416,0.10377603706666454,-0.30184025981323526,-0.3888599653837537
1966-12-05,60,49,0.515335602127412,False,-0.22765185452034956,0.06107196208553709,-1.7564346371842514,0.09896779250138019,-0.14963280977713583,-0.39473590937896386
1966-12-06,60,49,0.5158782423154711,False,-0.23315326218936097,-0.08513674110555404,-1.7564346371842514,0.09909067679118436,-0.22831625637699232,-0.44079004401299493
1966-12-07,60,49,0.497082256942096,False,-0.11409446518655453,0.02308032900811363,-0.18051908030561145,-0.02152314024692725,-0.20495025107372883,-0.09960132156094166
1966-12-08,60,49,0.4951460493198242,False,-0.10910971037431802,0.24320612130585215,-0.18143018372493652,-0.02438650551462528,0.03464575082308736,-0.00741490549698807
1966-12-09,60,49,0.4968677484912668,False,-0.11015191150030448,-0.14430932615835582,-1.21335644113277,-0.02852617953778973,-0.691020490251355,-0.43747286971611504
1966-12-12,60,49,0.4981463955449781,False,-0.12746475217615094,-0.25238653923144705,-1.7564346371842514,-0.00992836803863396,-0.5843232175076751,-0.5461075028276319
1966-12-13,60,49,0.4955399370201728,False,-0.12245270811371518,-0.23807119805957083,-1.7564346371842514,-0.0168083610128254,-0.6612001715658694,-0.5589934151872467
1966-12-14,60,49,0.4938194431957909,False,-0.11224596120332031,-0.2644126663212744,-2.299512833235733,-0.02870974217270649,-0.6795029856247519,-0.6768768377115573
1966-12-15,60,49,0.4957643106820792,False,-0.1219932267011428,0.00614469992498662,-0.724508379776418,-0.021471632530056038,-0.5123141374600765,-0.27482853530854134
1966-12-16,60,49,0.4758117340587993,False,0.008072721664752416,-0.1369640793572013,-1.21335644113277,-0.14923088587895497,-0.758650971101857,-0.45002593116120615
1966-12-19,60,49,0.4751519357109822,False,0.009449525836866889,-0.14598706527129188,-0.724508379776418,-0.15087922462042558,-0.7153806210234958,-0.3454611529709528
1966-12-20,60,49,0.4767632557580209,False,0.005296222625839659,-0.31426125552678474,-1.2675865758278995,-0.14734839811188477,-0.9540344049254175,-0.5355868823532294
1966-12-21,60,49,0.4799670821885968,False,-0.015625962917091736,0.046243411641320814,-1.2675865758278995,-0.12699940011521132,-0.46299374872372595,-0.36539245518852154
1966-12-22,60,49,0.4821762862047289,False,-0.03483286264397974,0.11072774443811961,-0.6702782450812885,-0.10666005649826502,-0.2756935248053687,-0.19534738891815645
1966-12-23,60,49,0.4729277450086525,False,0.01614798528998222,-0.1341424118816566,-0.6702782450812885,-0.15460289989833492,-0.6012357001425128,-0.30882225434276217
1966-12-27,60,49,0.4604925496273341,False,0.09203994013729029,-0.24640992831486944,-1.21335644113277,-0.22460516901786245,-0.7636074936375054,-0.4711878183931434
1966-12-28,60,49,0.4667360327627598,False,0.056619114506235454,-0.0937643209705595,-0.724508379776418,-0.1923994541660486,-0.5020641568237083,-0.2912234394460998
1966-12-29,60,49,0.4371144037289665,False,0.24517737569820927,-0.8018765264545497,-1.7564346371842514,-0.3722114994450338,-1.3988912729941183,-0.8168473120759489
1966-12-30,60,49,0.4350654955119772,False,0.2810842153130213,-0.13885837669777382,-0.6702782450812885,-0.3985818054049012,-0.7018939256230832,-0.32570562749880505
1967-01-03,60,49,0.4250263420640379,False,0.3477221550624283,-1.1381069716429768,-1.21335644113277,-0.45747131991172035,-1.6260527376626297,-0.8174530630575338
1967-01-04,60,49,0.4017991946692836,False,0.48690555437646543,-1.7223526811694374,-1.322462935129043,-0.5783519975279257,-1.8299728650127307,-0.9932469848925342
1967-01-05,60,49,0.3934796469722358,False,0.5461983239088213,-1.147580640739118,-1.2682328004339134,-0.6358370230857547,-1.2504562661561003,-0.7511816813012129
1967-01-06,60,49,0.4003496020149909,False,0.5456468507991209,-1.623979044064037,-1.21335644113277,-0.6453958999794347,-1.462505727007712,-0.8799180522769665
1967-01-09,60,49,0.4047591609287428,False,0.5236915216219926,-1.2072592759390193,-1.7564346371842514,-0.6250066831111253,-1.4333413296095598,-0.8996700808443926
1967-01-10,60,49,0.3826242267152119,False,0.7299039914965982,-1.2938753181555342,-3.385669225338696,-0.8125693358570636,-1.571693396805623,-1.2667806569320637
1967-01-11,60,49,0.3869799897271078,False,0.7149228206457259,-1.1713315197980894,-2.8974673885883577,-0.794416192168373,-1.5876057936032355,-1.1471796147024658
1967-01-12,60,49,0.3924129972342039,False,0.723388102189116,-0.7424059821961111,-2.3543891925368765,-0.8017203270622861,-1.1966460085529322,-0.8743546816318177
1967-01-13,60,49,0.3920770593085758,False,0.7240540401952773,-1.2628488809280924,-2.8974673885883577,-0.8029001501873794,-1.8060255399224565,-1.2090375838862015
1967-01-16,60,49,0.3661196018928259,False,0.8877291385191282,-0.9518182476264678,-0.7251546043824317,-0.9371765321481516,-1.4798795476714948,-0.6412599586618836
1967-01-17,60,49,0.3707627947683107,False,0.852475656669184,-0.9765442692528726,-0.7251546043824317,-0.9097606230271019,-0.965099791232031,-0.5448167262450506
1967-01-18,60,49,0.3685315574833342,False,0.8689866502305954,-1.1324640330681717,-2.8425910292872145,-0.9247433219272685,-1.4547278757954403,-1.0971079219695
1967-01-19,60,49,0.3684491962991987,False,0.8606256668755433,-1.1288634046206658,-1.7564346371842514,-0.9142454514141563,-1.408375772797796,-0.8694587198282651
1967-01-20,60,49,0.370374735385953,False,0.8360197551638251,-1.3978905440047298,-2.35416405695181,-0.8937838103654563,-1.5650309894325198,-1.0749699291181383
1967-01-23,60,49,0.3718427630196375,False,0.8445744497789496,-1.1542458710184333,-1.21335644113277,-0.8996658101288372,-1.3072980959888243,-0.7459983536979828
1967-01-24,60,49,0.3651847647571977,False,0.8910869214989969,-0.9831253133014503,-0.6702782450812885,-0.9377460067666149,-1.2532813558083409,-0.5906687998917396
1967-01-25,60,49,0.3727384809251581,False,0.825766150757891,-1.1370807745920186,-1.21335644113277,-0.8825215824363439,-1.4465428031696255,-0.7707470901145734
1967-01-26,60,49,0.3726723388975919,False,0.8437907753316422,-1.220039810220166,-1.21335644113277,-0.8938063177475278,-1.3947215316040569,-0.7756266650745756
1967-01-27,60,49,0.3746564576169809,False,0.8334220246875501,-1.2726297513127176,-1.21335644113277,-0.8838555058389141,-1.6607974400440466,-0.8394434227281795
1967-01-30,60,49,0.3742170529887945,False,0.8605907680011174,-1.2878493521037797,-0.6702782450812885,-0.9067262119421118,-1.7561168398274147,-0.7520759761906954
1967-01-31,60,49,0.3766533973358948,False,0.8475438255530399,-0.723798033270296,-1.21335644113277,-0.8945832249468373,-1.3528779676643146,-0.6674143682922354
1967-02-01,60,49,0.3768401439967698,False,0.8552659160339802,-1.276689537393512,-1.21335644113277,-0.9012032602108102,-1.5869718069061223,-0.824591025921847
1967-02-02,60,49,0.3756939845383071,False,0.8886548912674215,-0.8027763573008763,-1.21335644113277,-0.9306886854476362,-1.5706132011040554,-0.7257559587435832
1967-02-03,60,49,0.3787919213738071,False,0.8495983883499255,-0.7075431134319089,-0.6702782450812885,-0.8948081292944956,-1.3043064603317418,-0.5454675119579018
1967-02-06,60,49,0.3789253765600503,False,0.8276063638432379,-0.4877189472371445,-0.6702782450812885,-0.8832739762748039,-1.0075435598345217,-0.44424167291690414
1967-02-07,60,49,0.3795522107053972,False,0.79278860878634,-0.8904783689991174,-1.21335644113277,-0.8569160932094644,-1.5688566645774678,-0.7473637918264958
1967-02-08,60,49,0.3868301021660144,False,0.7444063912369693,-0.8280325934586799,-0.6702782450812885,-0.8158904184796191,-1.5252381185433,-0.6190065968651836
1967-02-09,60,49,0.3879489937810966,False,0.7460568036524639,-1.014228777648126,-1.21335644113277,-0.8194015550168279,-1.4985355358495565,-0.7598931011989634
1967-02-10,60,49,0.3906484167369006,False,0.7580879085270789,-1.544674065360104,-2.299512833235733,-0.8264427982836793,-2.1338050028828266,-1.2092693582470528
1967-02-13,60,49,0.3812400991328937,False,0.8034550685818246,-1.733717421903052,-2.299512833235733,-0.8666285843941799,-2.389092836110965,-1.297099321412421
1967-02-14,60,49,0.376451649046132,False,0.8561137539848174,-1.105101858188019,-1.7564346371842514,-0.9115747363570174,-1.883027715172613,-0.9600050385834168
1967-02-15,60,49,0.3754343167072052,False,0.8768015974030829,-0.9176931087336181,-2.8425910292872145,-0.928637420841165,-1.5243158841523383,-1.0672871691222503
1967-02-16,60,49,0.340491436598273,False,1.123729917280358,-0.6890790426876181,-1.21335644113277,-1.135168703002607,-1.3855634988571424,-0.6598875536799559
1967-02-17,60,49,0.3358150959477754,False,1.1472816479188541,-0.5210112619238048,-0.18185127274588359,-1.1547705525814211,-1.1056300664706018,-0.36319630116057144
1967-02-20,60,49,0.3367726352364629,False,1.134139179180238,0.038594720905697544,-0.6702782450812885,-1.1425746033900825,-0.4985279610539256,-0.22772938188787215
1967-02-21,60,49,0.3339185640355072,False,1.168483819384604,-0.3248968675140399,-0.6702782450812885,-1.1683933300877034,-0.7152550580430355,-0.34206793626829257
1967-02-23,60,49,0.3330367261734862,False,1.1623613086179871,0.07655063273815868,-0.127200049029807,-1.1602888940071618,-0.525268834481413,-0.11476916723244716
1967-02-24,60,49,0.3316571220076308,False,1.1858332990480371,-0.28659067936131843,-0.127200049029807,-1.1786943275668338,-1.1518572839911765,-0.3117018081802198
1967-02-27,60,49,0.3576455074921325,False,1.0093524389746462,-0.42025676738891793,-0.6702782450812885,-1.0301299467154672,-0.8743260236830952,-0.3971277087788245
1967-02-28,60,49,0.3555054354704666,False,1.009642517511517,-0.2960801112650644,-0.6702782450812885,-1.0333155569406531,-0.9768950891991988,-0.39338529699493757
1967-03-01,60,49,0.3607831266101041,False,0.9806824613247761,-0.2766188178349094,-0.7249294687973651,-1.011365920289278,-1.1759365119259868,-0.4416336515045526
1967-03-02,60,49,0.3579495935894961,False,0.9757763871203904,0.01601552614691533,-0.7249294687973651,-1.0101422974663214,-0.6534810839464775,-0.27935218738857165
1967-03-03,60,49,0.356557937832231,False,0.966206059261553,-0.4224323026712621,-0.6702782450812885,-1.0033602789246228,-1.085843836267142,-0.44314172073655256
1967-03-06,60,49,0.3528733925805944,False,1.043453036368676,-0.7493497596198019,-1.7564346371842514,-1.0676453634878402,-1.320637140290497,-0.770122772842743
1967-03-07,60,49,0.3511929778267875,False,1.054070030036109,-0.7009259429158968,-2.8425910292872145,-1.0756888717352575,-1.4052728125606682,-0.9940817252925858
1967-03-08,60,49,0.3509257368972793,False,1.0455290073209138,-0.6823190977735567,-1.7564346371842514,-1.0683369078258396,-1.123704236046839,-0.7170531743019148
1967-03-09,60,49,0.3456552999552932,False,1.095387918109256,-0.7014948624585847,-1.21335644113277,-1.1129813837880014,-1.020271251395639,-0.5905432041331478
1967-03-10,60,49,0.3425760490792808,False,1.1381875379203492,-0.6962611400693868,-1.21335644113277,-1.1452869556941994,-1.267574934314411,-0.6368583866580837
1967-03-13,60,49,0.3491937652057987,False,1.0880214562032406,-0.3844098142253451,-0.6702782450812885,-1.101260860967478,-0.6800793467926441,-0.34960136217270305
1967-03-14,60,49,0.3366807504939109,False,1.2032514558545113,-0.3021277837616009,-0.6702782450812885,-1.1963626855018676,-0.7637585569657509,-0.34585516309119935
1967-03-15,60,49,0.3409043133344043,False,1.1700414917491946,-0.5399395573048613,-0.127200049029807,-1.170993334672611,-0.9855430510663016,-0.3307269000648773
1967-03-16,60,49,0.3486034074562995,False,1.1475209565009972,-0.5743738023629578,-1.21335644113277,-1.1546261952211028,-1.0657507725968451,-0.5721172509625359
1967-03-17,60,49,0.3389118334347544,False,1.168568707616468,-0.3524292313426431,-1.21335644113277,-1.1714840039310659,-0.7440594697927367,-0.46255208771654954
1967-03-20,60,49,0.3374338325069431,False,1.1878376968317559,-0.7520472934912257,-1.7564346371842514,-1.1877220410589504,-1.0876066408346794,-0.7191945831474702
1967-03-21,60,49,0.3400778601696896,False,1.1622643596752926,-1.0888016211122291,-1.811085860900328,-1.1671044223284766,-1.5551150178654902,-0.8919685125062463
1967-03-22,60,49,0.3418300988631064,False,1.1540853188250755,-1.0263629213295808,-1.21335644113277,-1.163352509917758,-1.2838495623589292,-0.7065672231827925
1967-03-23,60,49,0.3358315040738741,False,1.186428256229116,-0.8805532306351409,-0.6702782450812885,-1.1922045742209284,-1.2230951901864144,-0.5559405967789313
